id_vendedor,nombre,descripcion,precio,cantidad,activo,aprobado
17,Smartwatch,Excelente Smartwatch disponible en tienda electronica. ID Registro: 1.,244.74,10,1,1
21,Scanner,Excelente Scanner disponible en tienda electronica. ID Registro: 2.,270.96,11,1,1
26,USB Drive,Excelente USB Drive disponible en tienda electronica. ID Registro: 3.,5.44,12,1,1
29,Printer,Excelente Printer disponible en tienda electronica. ID Registro: 4.,279.8,13,1,1
33,Tablet,Excelente Tablet disponible en tienda electronica. ID Registro: 5.,796.53,14,1,1
39,Power Bank,Excelente Power Bank disponible en tienda electronica. ID Registro: 6.,49.38,15,1,1
43,Charger,Excelente Charger disponible en tienda electronica. ID Registro: 7.,18.02,16,1,1
47,Mouse,Excelente Mouse disponible en tienda electronica. ID Registro: 8.,19.42,17,1,1
51,VR Headset,Excelente VR Headset disponible en tienda electronica. ID Registro: 9.,811.34,18,1,1
55,Laptop,Excelente Laptop disponible en tienda electronica. ID Registro: 10.,1938.62,19,1,1
59,Drone,Excelente Drone disponible en tienda electronica. ID Registro: 11.,1708.47,20,1,1
63,Headphones,Excelente Headphones disponible en tienda electronica. ID Registro: 12.,134.21,21,1,1
69,Projector,Excelente Projector disponible en tienda electronica. ID Registro: 13.,306.74,22,1,1
73,Graphics Card,Excelente Graphics Card disponible en tienda electronica. ID Registro: 14.,1166.64,23,1,1
78,Monitor,Excelente Monitor disponible en tienda electronica. ID Registro: 15.,913.12,24,1,1
81,Hard Disk,Excelente Hard Disk disponible en tienda electronica. ID Registro: 16.,68.62,25,1,1
85,Camera,Excelente Camera disponible en tienda electronica. ID Registro: 17.,1553.53,26,1,1
89,Gaming Console,Excelente Gaming Console disponible en tienda electronica. ID Registro: 18.,392.04,27,1,1
93,Keyboard,Excelente Keyboard disponible en tienda electronica. ID Registro: 19.,123.94,28,1,1
97,Smart TV,Excelente Smart TV disponible en tienda electronica. ID Registro: 20.,1887.14,29,1,1
102,Router,Excelente Router disponible en tienda electronica. ID Registro: 21.,88.29,30,1,1
105,Speaker,Excelente Speaker disponible en tienda electronica. ID Registro: 22.,445.64,31,1,1
109,Smart Home Hub,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 23.,130.92,32,1,1
113,Smartphone,Excelente Smartphone disponible en tienda electronica. ID Registro: 24.,339.4,33,1,1
117,Smartwatch Lote 2,Excelente Smartwatch disponible en tienda electronica. ID Registro: 25.,244.74,34,1,1
17,Scanner Lote 2,Excelente Scanner disponible en tienda electronica. ID Registro: 26.,270.96,35,1,1
21,USB Drive Lote 2,Excelente USB Drive disponible en tienda electronica. ID Registro: 27.,5.44,36,1,1
26,Printer Lote 2,Excelente Printer disponible en tienda electronica. ID Registro: 28.,279.8,37,1,1
29,Tablet Lote 2,Excelente Tablet disponible en tienda electronica. ID Registro: 29.,796.53,38,1,1
33,Power Bank Lote 2,Excelente Power Bank disponible en tienda electronica. ID Registro: 30.,49.38,39,1,1
39,Charger Lote 2,Excelente Charger disponible en tienda electronica. ID Registro: 31.,18.02,40,1,1
43,Mouse Lote 2,Excelente Mouse disponible en tienda electronica. ID Registro: 32.,19.42,41,1,1
47,VR Headset Lote 2,Excelente VR Headset disponible en tienda electronica. ID Registro: 33.,811.34,42,1,1
51,Laptop Lote 2,Excelente Laptop disponible en tienda electronica. ID Registro: 34.,1938.62,43,1,1
55,Drone Lote 2,Excelente Drone disponible en tienda electronica. ID Registro: 35.,1708.47,44,1,1
59,Headphones Lote 2,Excelente Headphones disponible en tienda electronica. ID Registro: 36.,134.21,45,1,1
63,Projector Lote 2,Excelente Projector disponible en tienda electronica. ID Registro: 37.,306.74,46,1,1
69,Graphics Card Lote 2,Excelente Graphics Card disponible en tienda electronica. ID Registro: 38.,1166.64,47,1,1
73,Monitor Lote 2,Excelente Monitor disponible en tienda electronica. ID Registro: 39.,913.12,48,1,1
78,Hard Disk Lote 2,Excelente Hard Disk disponible en tienda electronica. ID Registro: 40.,68.62,49,1,1
81,Camera Lote 2,Excelente Camera disponible en tienda electronica. ID Registro: 41.,1553.53,50,1,1
85,Gaming Console Lote 2,Excelente Gaming Console disponible en tienda electronica. ID Registro: 42.,392.04,51,1,1
89,Keyboard Lote 2,Excelente Keyboard disponible en tienda electronica. ID Registro: 43.,123.94,52,1,1
93,Smart TV Lote 2,Excelente Smart TV disponible en tienda electronica. ID Registro: 44.,1887.14,53,1,1
97,Router Lote 2,Excelente Router disponible en tienda electronica. ID Registro: 45.,88.29,54,1,1
102,Speaker Lote 2,Excelente Speaker disponible en tienda electronica. ID Registro: 46.,445.64,55,1,1
105,Smart Home Hub Lote 2,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 47.,130.92,56,1,1
109,Smartphone Lote 2,Excelente Smartphone disponible en tienda electronica. ID Registro: 48.,339.4,57,1,1
113,Smartwatch Lote 3,Excelente Smartwatch disponible en tienda electronica. ID Registro: 49.,244.74,58,1,1
117,Scanner Lote 3,Excelente Scanner disponible en tienda electronica. ID Registro: 50.,270.96,59,1,1
17,USB Drive Lote 3,Excelente USB Drive disponible en tienda electronica. ID Registro: 51.,5.44,60,1,1
21,Printer Lote 3,Excelente Printer disponible en tienda electronica. ID Registro: 52.,279.8,61,1,1
26,Tablet Lote 3,Excelente Tablet disponible en tienda electronica. ID Registro: 53.,796.53,62,1,1
29,Power Bank Lote 3,Excelente Power Bank disponible en tienda electronica. ID Registro: 54.,49.38,63,1,1
33,Charger Lote 3,Excelente Charger disponible en tienda electronica. ID Registro: 55.,18.02,64,1,1
39,Mouse Lote 3,Excelente Mouse disponible en tienda electronica. ID Registro: 56.,19.42,65,1,1
